Package name,Reviewer name,Review,Rating
com.agooday.screentime,Vikram,Very good,5
com.agooday.screentime,Dhana Lakshmi,Good,3
com.agooday.screentime,Christopher Harris,"Good app, use it",5
com.agooday.screentime,art ali,Perfect,5
com.agooday.screentime,Neha Priya,It showed my youtube use for 22 hours when I hadnot even open it for an hour!!,1
com.agooday.screentime,Chris Gardiner,Now unusable. Advertising takes up half the screen.,1
com.agooday.screentime,Talia Wilson,App does not pick up all apps on phone to measure time used accurately. O ly worked this out after paying to block ads. Message sent to provider has gone unanswered. Do not use this app,1
com.agooday.screentime,Adi AR,When I first looked the time was 30 minutes then 5 minutes later time was 6 and half hours I need a real usage time app please repair this.,1
com.agooday.screentime,Hari Haran DME,Super,5
com.agooday.screentime,Azza elhossieny,Horrible experience,1
com.agooday.screentime,WebDev,"Overflowing with ads, some that can't even be closed (???) and block 60% of the UI, making everything useless. This app used to be so much better.",1
com.agooday.screentime,Brenda I,Good so far and easy to read the reporting of usage with simple to follow graphics.,4
com.agooday.screentime,Emanuela Szekely,After the last update 75% of the apps are not showing anymore in the usage. Before the upgrade it was working fine. Plus not to mention the annoying adds that take up half of the screen now.,1
com.agooday.screentime,Peťa Marčoková,App is just full of adds.,1
com.agooday.screentime,Fouad Adel,Useless and horribly annoying ads,1
com.agooday.screentime,jagjit atwal,"Horrible experience this app is just showing ads on half screen, and therr is also message to developers or app owners, why u just put ads on full screen and u you need wifi passwords and other personal information to collect and why you are not using data encryption like WhatsApp",1
com.agooday.screentime,Meow Link,too many ads,1
com.agooday.screentime,Jimmy Walker,Buggy needs updated,1
com.agooday.screentime,Nazgulik Naz,"app is broken, 80% of ui is taken by add. Unusable.",1
com.agooday.screentime,Aman Kumar,Nad,5
com.agooday.screentime,Mahim Gupta,Please block this app on my device,4
com.agooday.screentime,Barry Foxworth,"Great app! Nice dashboard,too! Would be nice if it had a black background! There's an upgrade to eliminate sfd, but I haven't seen any ads, anywhere???",5
com.agooday.screentime,Mamun Hossain,Preety Good,4
com.agooday.screentime,Mike R.,Terrible UX and barely functions.,1
com.agooday.screentime,Isanka Ashinshana,❤️‍🔥,5
com.agooday.screentime,Jeroen De Geyter,Nice,5
com.agooday.screentime,Ayush Gautam,Nice 👍🏼 App,3
com.agooday.screentime,It's BlackBlackBlack,Accurate and easy to use,5
com.agooday.screentime,Ali Mohamed,ok good features,5
com.agooday.screentime,Hamida Akter,Awesome app❤️❤️❤️❤️,5
com.agooday.screentime,Ashwin Shajan,This is good for my son,5
com.agooday.screentime,Kishan joshi,Best app ever,5
com.agooday.screentime,Patryk P,Simple app. Does the job it's supposed to. 100% recommended.,5
com.agooday.screentime,maja pahit,Wrong timing and not user friendly at all,1
com.agooday.screentime,Orochi Doppo,This app shows the wrong time all the time.,1
com.agooday.screentime,L Ng,Got woken up many times by this app at 12 in the night. Would not recommend.,1
com.agooday.screentime,Caleb Ng,Said I used a game for 34 hrs in a day. Sounds legit,1
com.agooday.screentime,Gaurawa Dilshan,Very helpful app 😊❤️ highly recommended,5
com.agooday.screentime,Tanishq Malu,Shows wrong results,1
com.agooday.screentime,Rafał Tarka,"Apart from and awfully broken UI, It's basically Screen Time app from Simple App Ltd. with a different name.",1
com.agooday.screentime,Riddhi Yadav,Wrong time show,1
com.agooday.screentime,anas malik,"Best app of it's kind, recommended to my friends... A small bug of showing notifications 4-5 times at exactly midnight, but no biggie, it does what it says",5
com.agooday.screentime,kim jong un,"I wish this app wasn't discovered by my mom who makes me use this to see how long I play everyday, I wish she knew that 7 hours isn't very long",1
com.agooday.screentime,Arnost Kobylka,Very good app,5
com.agooday.screentime,Sridhar Babu,Nice app to track the usage of apps and times,5
com.agooday.screentime,utkarsh vadiyekar,Nice to 👍,5
com.agooday.screentime,Trushna Tarpan Pani IXF Roll No-38,Worst app. Gives wrong time and doesn't show accurate timings. I am fed up with this app. If play store had had an option of giving zero star I would give that to this app.😡😡😡😠😠😠,1
com.agooday.screentime,Helper Tanvir,I like 😍😍,5
com.agooday.screentime,shayan nice,Tt,4
com.agooday.screentime,Budica,Stupid,2
com.agooday.screentime,sunil jadhav,Nice purchased app,5
com.agooday.screentime,PATEL PRINCE,😋😋😋😋😋😋,1
com.agooday.screentime,Nikita Novikoff,"Very nice app, but: 1. Uses random colors for chart (better take from app icon). 2. No widget. 3. Slow start.",4
com.agooday.screentime,Marcelle Freese,Will not update,1
com.agooday.screentime,THAHERA KHANAM,"It ia really good, but some times i don't know why it shows that I have used some apps for more then 12 hours but the fact is i dont use them for atleast 1 hr",5
com.agooday.screentime,Kriya B,"I find this app really useful but some of the calculations (like app usage for the last 30 days) is not accurate, I am very certain it well underestimated the time I spent on different apps in the last 30 days and I have had this app for a much longer time. Edit: Since updating, I no longer get notifications that I have reached time limit on apps. Help!",3
com.agooday.screentime,BHAVESH FF,Meri Jindagi Ujad Di Hai es app ne,1
com.agooday.screentime,Deepak Sahu,Nyc,4
com.agooday.screentime,Hannah J.,Great app when it works. Downtime never worked. Even Uninstaller and reinstalled.,3
com.agooday.screentime,Taimoor Falak,Excellent app for app usage Time measurements and special there are NO ADS,5
com.agooday.screentime,Kartik Jeswani,Good app!!♾,5
com.agooday.screentime,H M,Not really of use,1
com.agooday.screentime,Discord Op,Tirty,5
com.agooday.screentime,Jalius,Doesn't save your usage data for more than a week. It's useless!,3
com.agooday.screentime,sunny kumar,Very nice application,5
com.agooday.screentime,Sadegh Torfi,Good,4
com.agooday.screentime,Arko,This app is really good .. however it deletes time spent on an app if i uninstall that app .. which is not ok,4
com.agooday.screentime,Angel Villanueva,"This app does EXACTLY what it's told. It is my one and only trusted cellphone time tracker for almost two years now. Thank you so much for making this app, it's honestly the best and the most perfect app for me! It helps me and teaches me to not live my life on my phone. This app is the only app that truly made me realize how much time I was wasting online. Keep it up, and God bless you!",5
com.agooday.screentime,pranav gupta,The usage statistics provided by the app is debatable. Yesterday it showed me that I used my phone for 29 hours and 9 minutes. I wish I could upload a screenshot to show the 29 hour usage!!!,2
com.agooday.screentime,aziza,"Very inaccurate, restrictions don't work",1
com.agooday.screentime,Mahfuz Ahmed Shanto,good,3
com.agooday.screentime,Prince Soni,This is best app to time mange,5
com.agooday.screentime,Jay K,Good,2
com.agooday.screentime,Matthewp8791 Puerta,stupid app,1
com.agooday.screentime,Prerak A. Shah,Awsome app for Usage Timings Understanding,5
com.agooday.screentime,Cynthia Manimegalai,The app is good as it helps to track the time. But I noticed that it is showing different figures on the bar graph and on clicking the pie chart.,2
com.agooday.screentime,Mahardika DB,"this is great apps, but I need the option to reset the usage time. hope you hear my feedback. thanks",5
com.agooday.screentime,Ahmed Azmy,رائع,5
com.agooday.screentime,Ankitha Pai,Good for people who dont have screen time on their phone constantly.,5
com.agooday.screentime,Isabelle Burrows,I love this app it's really good for limiting my screen time to 2 hours a day.,5
com.agooday.screentime,Luiz Eduardo,Funcional,5
com.agooday.screentime,A Google user,"Awesome app, clean, simple, and giving you the data you wanted. Is there anyway to export this the info from the app?",5
com.agooday.screentime,A Google user,The app is really good. It's very simple. But my blacklist isn't working. I selected a time and the apps i wanted to block. It didn't work. They should also save the data longer.,3
com.agooday.screentime,A Google user,💯,5
com.agooday.screentime,A Google user,"Love the UI, but less keen on the persistent notification (I understand why it's there, but similar apps do the same thing without it). Also, I'm not sure exactly what this app considers a session for an app, since it tends to show way, way more sessions than there actually are. Example: By 14:30 today, Usage Time showed 21 sessions of an app I use once an hour to track my day — I'd opened it 5 times at that point — and 6 of those mystery ""sessions"" were all time-stamped 13:55. I *was* in the app at 13:55, for about 30 seconds. Then I minimized and swiped it away. Also, emailed the developer 9 days ago with a couple questions, but haven't received a reply.",3
com.agooday.screentime,A Google user,Ok,5
com.agooday.screentime,A Google user,Very efficient!,5
com.agooday.screentime,A Google user,"Bugged. It got stuck in the ""Usage time"" settings screen and not even after rebooting the phone I could go back to the main screen.",1
com.agooday.screentime,A Google user,Best app for this category.,5
com.agooday.screentime,A Google user,"I don't support widget! I need it. I don't want this app!! Please update it for ""add widgets"". I will give 5 stars",1
com.agooday.screentime,A Google user,Good,5
com.agooday.screentime,A Google user,Good,5
com.agooday.screentime,A Google user,Thanks for your great app. I think this app would not work for some apps for example I have whatsapp and whatsapp business in my cell phone but the limitation did not work for whatsapp business at all! Could you please help me?,4
com.agooday.screentime,A Google user,Inaccurate,2
com.agooday.screentime,A Google user,"Works well. Wish I could keep track of a longer period of time though. It would be helpful to compare usage between months. It deletes data past 7 days. I got this app mostly to show my fiancé I don't live on my phone, but the only time she cares is when I've had a high week. Unfortunately, those are presumed to be my average 😂",4
com.agooday.screentime,A Google user,"Very Inaccurate, sometimes it shows no usage, and other times it shows that I've used my phone 28 hours. How can i use my phone for 28 hours in a day ( i live on earth by the way). If the app makers care even a little, please fix this issue. I'll provide the screenshot amd all the info available to me.",1
com.agooday.screentime,A Google user,Feel as necessary..,5
com.agooday.screentime,A Google user,Do not download this app! I downloaded it and it automatically signed me up to a premium subscription service without my knowledge. I have cancelled the subscription and uninstalled the app but now have to try and get my money back.,1
com.agooday.screentime,A Google user,"I really do love this app it works for everything and shows the notifications and the time you were using the device, the only problem is I forgot my pattern but I have no idea how to fix it!!! I try to uninstall it but it will only make me use the same pattern is there any way possible I can reset it but a hack or something and still get the data from the day before??? Pelase respond and help me!!",5
com.agooday.screentime,A Google user,awesome!,4
com.agooday.screentime,A Google user,Downtime doesn't work unless you pay anymore. Is just a screentime app which most phones have embedded :/.,1
com.agooday.screentime,A Google user,Recently started tracking system UI which makes it kinda inaccurate and often makes it say I have 18 hours of usage time,4
com.agooday.screentime,A Google user,It is good but it's fake i just got 8 hours on phone and it said that it is 16 hours,2
com.agooday.screentime,A Google user,Super,5
com.agooday.screentime,A Google user,Stupid and wrong,1
com.agooday.screentime,A Google user,Great app,5
com.agooday.screentime,A Google user,Great app does what it claims and much more!,4
com.agooday.screentime,A Google user,"I got this app in the hopes it would stop me going on social media after a certain time. However, it is quite useless as when I click on one of the apps to use and it's the time or past the time I set it to lock, it gives me an option right there for me to go on the app. I expected the app to be locked until the time I put for it to allow me to use it but it doesn't. It warns you once that it's on lock but then if you click the app after that there's no warning and it just lets you use it",2
com.agooday.screentime,A Google user,Waste of money. There are other free apps that have even better features.,1
com.agooday.screentime,A Google user,Nice,4
com.agooday.screentime,A Google user,Good app. One of the best social media monitors available.,5
com.agooday.screentime,A Google user,Don't have time count for apps,3
com.agooday.screentime,A Google user,Its a good app which does it's job but quite often it seems to double my usage time For example today I had a usage time of 7 and a half hours but it's turned to 15 hours at midnight My sibling check my screen time everyday and this doenst really show an accurate example of the real thing,3
com.agooday.screentime,A Google user,Does a good job but it keeps including the system UI in my time usage so I apparently used my phone 22 hours the last day when I had not even need awake that long,1
com.agooday.screentime,A Google user,Said I used 26 hrs on my phone for a day I left it at home.,1
com.agooday.screentime,A Google user,Useful,5
com.agooday.screentime,A Google user,Just need a clock always on screen and a reminder when we exceed our usage otherwise it is awesome,5
com.agooday.screentime,A Google user,This app gives detailed accounts of your app usage and literally lives up to its name! An amazing tool to help restrain oneself from being glued to their screens! Kudos to the developper,5
com.agooday.screentime,A Google user,Ok,5
com.agooday.screentime,A Google user,I paid money for this app so I could use the custom range feature and when I tried using it it won't tell me the hours I've used my phone other than the last week therefore meaning the monthly tracking is also broken. This is really annoying as I need to use these longer term tracking functions for my Chinese learning.,1
com.agooday.screentime,A Google user,"I tried to set up the Downtime feature in this app, but it hasn't taken affect on any apps on my phone that I didn't allow access to use during the time allotted.",1
com.agooday.screentime,A Google user,It was terrible,2
com.agooday.screentime,A Google user,"Great app with interesting stats. Easy to use and read! Tip for @devs - Did you think about possibility to run export for last week / month / since the beginning ? It might be interesting for someone to see how often they take phone into their hands, etc.?",5
com.agooday.screentime,A Google user,very disappointed,3
com.agooday.screentime,A Google user,"I can't watch statistics for time more than 1 months (by the way, I bought premium for this broken feature). Lack of visual presentation statistics, only pie and bar charts.",3
com.agooday.screentime,A Google user,Good,4
com.agooday.screentime,A Google user,"Great app! Does exactly what is says it's supposed to do & it's super simple interface it only makes it easy to navigate & explore but to my surprise it was actually kinda fun to see my usage time for each app as well as when I used them & other interesting information! I can limit my screen time.+ I was unaware that someone had been getting into my phone, this app showed me the # of times my device had been unlocked I immediately knew someone had been in it. So XTRA THANX 2 THE DEVELOPER(S)",5
com.agooday.screentime,A Google user,nice app very useful,5
com.agooday.screentime,A Google user,Its the worst app that ever exists mi father put me time limit now I can't not play more than 20 minutes,1
com.agooday.screentime,A Google user,Wonderful app,4
com.agooday.screentime,A Google user,App does not allow me to view usage history after i clear data or even switch on and off my phone.,2
com.agooday.screentime,A Google user,Good app,5
com.agooday.screentime,A Google user,I like this app.It is helpfull.,4
com.agooday.screentime,A Google user,It works well and has lots of useful functions. Two complaints are that: 1. There is something wrong with the off time setting so you can't actually pick the hours you want. 2. They should add an option to exclude specific apps from your screentime total.,4
com.agooday.screentime,A Google user,very use full and it can help,4
com.agooday.screentime,A Google user,this app doesn't work properly it just shows the different types of options but they really don't work,1
com.agooday.screentime,A Google user,keep remind break rule. please get shut down rule rest the day ?,3
com.agooday.screentime,A Google user,"I've been looking for an app for a while that let's you on apps for only specific amounts times each day and this is it! However, it is rather limited, and gives a REALLY easy way to ignore it (it asks you if you want to snooze 20 min) Also sometimes blocks apps i didn't tell it to, but over all I do like it.",4
com.agooday.screentime,A Google user,Why does system UI keeps showing up on the usage time. It gives a completely wrong picture. This has to be deleted.,3
com.agooday.screentime,A Google user,Would not recommend. I've had this app for a while now and it only really tells you how much time you've spent on your phone once you're on the app and usage time limits don't work. It drains your battery as well.,1
com.agooday.screentime,A Google user,very nice app.,5
com.agooday.screentime,A Google user,4 star due to less analytical data presentation,4
com.agooday.screentime,A Google user,doesn't limit app use unless you exit the app and try and use it again eg I set a 1 hour YouTube limit but it ran over 3 hours and only stops use if you exit the app,1
com.agooday.screentime,A Google user,nice app,5
com.agooday.screentime,A Google user,עושה את העבודה לא יותר מזה,3
com.agooday.screentime,A Google user,Helps me keep track of my usage time and unlocks which i really like. It has downtime and you can limit certain apps during certain times however i have not been able to change the ending time to pm instead of am. Also its not so good for trying to limit yourself because if you put in the code the unlocks the app.,3
com.agooday.screentime,A Google user,pls update battery consume level when 100 to 0 level and each app how much of battery consume also mention and custom time to time usage time check i mean today 3.00am to tomarrow 3 am apl usage and battery consume every thing,4
com.agooday.screentime,A Google user,"Bug #1: Usage limits are unreliable and only check when you switch apps. For example, today it told me I'd exceeded a 3hr30 usage limit when I switched to an app but also says I used the app today for 4hr40. Bug #2: Downtime doesn't work if your downtime period spans midnight (eg. if you set 10pm to 6am, downtime only works until midnight). Bug #3: App Usage Details screen doesn't display correctly when a custom date is selected (shows the custom date but with today's usage data).",1
com.agooday.screentime,A Google user,it's not even working!,1
com.agooday.screentime,A Google user,"Very basic, a bit clunky and not the most polished UI. Does what it needs to.",3
com.agooday.screentime,A Google user,the ui is disgusting and tons of adds and all. there are better' options available for free,1
com.agooday.screentime,A Google user,"it was good at first then now it absolutely sucks. ive been awake for like 10 hours, i had two b day parties, and played hide and seek the rest causr 1 of the b day parties was a sleepover. i looked at how much i was on and it said 20 hours. this app is horrible now. I ONLY DID 2 STARS CAUSE IT WAS GOOD AT FIRST. BOOOO",2
com.agooday.screentime,A Google user,it is very useful to me,5
com.agooday.screentime,A Google user,"limiting app can only be done manually for each app, would prefer to make the limit based on apps category",3
com.agooday.screentime,A Google user,"if there is pattern or pin setup and if this app is being un-installed, it would be better to ask for pin or pattern just to make sure if parent is the one deleting it",4
com.agooday.screentime,A Google user,i use this for myself but it has a lot of neat little details. also good for parents limiting or screening phone usage.,5
com.agooday.screentime,A Google user,i dont like it it meausres the time that your phone is doing backgroup thing. but other than that its good,2
com.agooday.screentime,A Google user,Very useful to know how much time a day I'm on my device and how many times I unlocked and which apps I used the most,5
com.agooday.screentime,A Google user,nice app,4
com.agooday.screentime,A Google user,its varebhfho,5
com.agooday.screentime,A Google user,"prettu good, maybe make an oprion wherw you cant control your game time unless you post an emergency button",5
com.agooday.screentime,A Google user,Amazing!,5
com.agooday.screentime,A Google user,App developer not responding back to it's customer after 2 weeks.,1
com.agooday.screentime,A Google user,I installed this app yesterday. So today when I had used my phone for 2-3h and it's late like 7-8pm and now that I check how long I've used the phone it says 8h and just now that I went to check to get the right time it suddenly changed to 4h??,3
com.agooday.screentime,A Google user,Just love with this app😍 bestt,5
com.agooday.screentime,A Google user,Wonderful app,5
com.agooday.screentime,A Google user,good app,5
com.agooday.screentime,A Google user,very good,5
com.agooday.screentime,A Google user,please bring night mode,4
com.agooday.screentime,A Google user,The app was good but the latest one ui update thinks that system ui is an app so it thinks ive been using my phone for 15 hours a day.,4
com.agooday.screentime,A Google user,hood,5
com.agooday.screentime,A Google user,"This app is ready to use but I wish it wash more harsh on you, for example: I accendently taped on a app at down time and instead of saying its downtime and taking me out of the app It says ""do you want to continue?"" I said yes and it took me in",3
com.agooday.screentime,A Google user,top,5
com.agooday.screentime,A Google user,does not show time on call correctly,2
com.agooday.screentime,A Google user,"installed with samsung a5 2017. Fingerprint not working anymore and mobile payments with my bank app were blocked. When uninstalled, both were working fine again.",1
com.agooday.screentime,A Google user,Mostly showed wrong time. I mean there was a day the app showed I used my phone for 22 hours but I slept for five hours that day and obv didn't use that long. Trash. Yanlış gösteriyo zamanı. Bir gün 22 saat kullandığımı gösterdi ama aynı gün 5 saat uyumuştum ve tabii ki de o kadar uzun süre kullanmadım. Çöp. Die App ist falsch. Eines Tages sagte die App 22 Stunden für Usage Time aber ich habe 5 Stunden am selben Tag geschlafen und natürlich ich habe nicht so lange benutzt. Müll.,2
com.agooday.screentime,A Google user,the downtime feature is not working .....actually that was what i want,3
com.agooday.screentime,A Google user,it consumes a lot of battery.,3
com.agooday.screentime,A Google user,"This app has helped me managed my time better, and has helped me lower my usage",4
com.agooday.screentime,A Google user,Doesn't work on OnePlus 5T. Set it up to stop me using apps between a certain time. At the start I had to open Usage Time before another app in order for it to notify me. A day later it stopped notifying me and allowed me to use my apps during the blocked period.,2
com.agooday.screentime,A Google user,Nice app and it reminds me the value of time,5
com.agooday.screentime,A Google user,Super app,4
com.agooday.screentime,A Google user,useful,5
com.agooday.screentime,A Google user,"Best of the best app, but if any developer is reading my review then fix this, after we turn on the super saver mode(vivo y31) then the app resets to 0, otherwise awesome app",5
com.agooday.screentime,A Google user,perfect,5
com.agooday.screentime,A Google user,very good,5
com.agooday.screentime,A Google user,Very eye opening. one thing i would change is the ability to schedule more than one downtime and also not being able to ignore limits so easily. I'm like a screen time junkie. sigh,4
com.agooday.screentime,A Google user,"This is a really useful help, but I think it's missing something important: a nighttime mode! after a certain amount of time, it locks out all apps except for the ones you choose to stay unlocked!",4
com.agooday.screentime,A Google user,Can't filter out background apps that not interested in accounting for like Google maps.,3
com.agooday.screentime,A Google user,this app helps alot to figure you out how much time you're wasting,5
com.agooday.screentime,A Google user,"It was a great app, but they have just started with ads. Goodbye, uninstalling...",2
com.agooday.screentime,A Google user,Well Played.,5
