Package name,Reviewer name,Review,Rating
com.appbuck3t.screentime,Shanmukh Sairam Ankam Official,It was good app in studies time,5
com.appbuck3t.screentime,Aman Bohidar,Its the perfect app for limiting use of apps especially for students preparing for competitive exams. I had tried various apps but this is the perfect app which i needed.,4
com.appbuck3t.screentime,Nagesh Bhusanage,Best app,5
com.appbuck3t.screentime,Holly Lanctot,"This app would be great, except for the fact it doesn't block notifications from the apps you block, therefore I still get messages that come through and still see alerts for distracting apps which doesn't help my focus.",3
com.appbuck3t.screentime,Suresh Kumar Pradhan,Just amazing. The focus mode is a boon for students. Thank you so much for providing focus mode for free. I am using this app from November 2021 ( 5 months). God bless you ☺️,5
com.appbuck3t.screentime,Mohamad Khani,خوبه,5
com.appbuck3t.screentime,Flattykawa._.,😘,5
com.appbuck3t.screentime,Baljeet Meena,Mast,5
com.appbuck3t.screentime,prerna BARCAN,"Too many ads even as I try to manage settings in this app, which increases my phone usage. Uninstalled this.",2
com.appbuck3t.screentime,Turtle Gaming,Chile,1
com.appbuck3t.screentime,41 Cherry Lamba IX-A,Great app,5
com.appbuck3t.screentime,Ivan Ma,Worst app...so many adds display,1
com.appbuck3t.screentime,Youssra H.,"Tbh its actually good after using it for 2 days. Initial set up and pop up adds went rocky. And not to forget that it took hours before it recognized I bought premium. Stats and graphs are really good. Tracking time ect. But honestly you need premium with this app, otherwise its unbearable.",4
com.appbuck3t.screentime,27-Dhyey Sanghrajka,It is nice,1
com.appbuck3t.screentime,Wesley Freeman,intrusive ads from the start. Do not install.,1
com.appbuck3t.screentime,PSIHOPEDIA,I've just installed it and seems to be a good app. I wanted to check how much is the premium version (so I can get rid of the ads) and I can't figure if the amount I'm paying is for a month or an year. Let's go with 4 stars for now.,4
com.appbuck3t.screentime,Unekwu ojo Abraham,The best,5
com.appbuck3t.screentime,Mike R.,"Disgusting amount of ads. Couldn't do anything without multiple popping up that hide the close button, try to trick the user, register any tap as a desire to install the junk gambling apps, etc. It also demands your fingerprint. Plus, the app itself, once you get to it, also lacks basic features. Shame on the dev for this garbage.",1
com.appbuck3t.screentime,Az F,Good app...,4
com.appbuck3t.screentime,Addi Oreo,"Love this app! Only complaint is the ads, but totally worth it!",4
com.appbuck3t.screentime,yosuf parsaa,Perfect for focusing on myself,5
com.appbuck3t.screentime,Jean-Paul Gerard,Ads ads and more ads,1
com.appbuck3t.screentime,Elyssa Offei Ani,It works really well! This app is extremely helpful to those who have an android device.,5
com.appbuck3t.screentime,Abbygail patterson,"This is really easy to use and is easy to track , I have only had it for a few days but I am not sure if you can set a timer.",4
com.appbuck3t.screentime,Hailee Marble,Does not work at all. I tend to waste a lot of time on my phone so I set a time limit and a bedtime. Nope! Nothing happened except my time being wasted like usual. Disappointing...,1
com.appbuck3t.screentime,Raunak Mehadia,It helps me but it has many ads,3
com.appbuck3t.screentime,Kazi Rezaul Islam,Nice,5
com.appbuck3t.screentime,Jat Jat,Its froud,5
com.appbuck3t.screentime,Ali 1401,"5 stars, Hi how can I translate your software?",5
com.appbuck3t.screentime,35_Diya,Gud,4
com.appbuck3t.screentime,Kimberly Morales,I like it !!,5
com.appbuck3t.screentime,Harleen kaur sidhu,Good,1
com.appbuck3t.screentime,Rebecca Pointon,"I like it, its easy to use and I like that you have the option of seeing your usage for the day, week or month. Its good to keep an eye on if you are aiming to reduce your phone usage",5
com.appbuck3t.screentime,Emma Webster,Awesome very helpful😍🥰,5
com.appbuck3t.screentime,M.JOTHILAKSHMI SRINIVASAN,Excellent App,5
com.appbuck3t.screentime,Sneha Jalan,This is a good app . It shows me how many hours does he takes but sometimes I cannot see can you show me,1
com.appbuck3t.screentime,Mays Aljundi,Ann EXCELENT App,5
com.appbuck3t.screentime,Parvez Raza,😀😀😀,5
com.appbuck3t.screentime,Erin Lynch,"They say what isn't measured, isn't managed. This app measures brutally and I love it.",5
com.appbuck3t.screentime,lagand army gaming,To much useful app,5
com.appbuck3t.screentime,Jasjot Chahal,Great app got rid of my addiction to some app,5
com.appbuck3t.screentime,Ajay Panwar,Awesome functioning very well till now,5
com.appbuck3t.screentime,Jack Lane,NOT WORKING - add Whitelist apps...but still counts their time...PLS fix this . Simple and effective ! But sometimes...it's a little buggy. Even with all the permissions...it doesn't show warnings. Dark theme...if free would be really awesome !:😁,4
com.appbuck3t.screentime,Moira Burrow,Keeps me from being on my phone for too long.,5
com.appbuck3t.screentime,Shalini,Best App always give Correct status.😊😊I like this most,5
com.appbuck3t.screentime,Md Abdus Sattar,App is good but special features are required a purchase for premium mode,3
com.appbuck3t.screentime,Nipz D,Hopefully it will work :),5
com.appbuck3t.screentime,SMD965,I suppose this is a Info stealer,1
com.appbuck3t.screentime,Mahesh Patil,Good,5
com.appbuck3t.screentime,Drishti Chauhan,I love this app especially the focus feature helps me get a lot of things done,5
com.appbuck3t.screentime,Abdulmajeed Ramadan,Free and accomplishes all the things i was looking for. Great product.,5
com.appbuck3t.screentime,mrudula sheshai,l give it three stars because its a good app but all it does is showing our screen time nothing else to use more features we need to buy premium for everything premium for usage timeline premium you need to buy premium in of these screen control apps so l think it not is that bad because all apps demand premium for use of full feauture so l give three stars,3
com.appbuck3t.screentime,Gustavo Fernandes,"I try several and this one is that I like most, sometimes crash but it doesn't affect functionality and I know they will fix it soon... thanks!",5
com.appbuck3t.screentime,Feliksas D,I like this app but not to much,3
com.appbuck3t.screentime,Shelly Garg,App is good & easy to use but it is not working from 2 days it does not block apps plz fix it soon,4
com.appbuck3t.screentime,ŠÀÁÑP ŸT,Nice,5
com.appbuck3t.screentime,MAYURESH RANE,Amazing application,5
com.appbuck3t.screentime,Ashu J,🔥,5
com.appbuck3t.screentime,SHLOKA VERMA,Gud,4
com.appbuck3t.screentime,Kusuma HT,This app is a very usefull app when in otherhand diffrent screen time apps are complicated this is easy and hepful,4
com.appbuck3t.screentime,Sanskriti Sankrityayn,Perfect,5
