Package name,Reviewer name,Review,Rating
com.ezlapp.screen.time,Lavanya Saxena,Loved the app. It helped me to make a proper routine and limit my distractions.,5
com.ezlapp.screen.time,ABHISHEK SHARMA,Very helpful aap,5
com.ezlapp.screen.time,Light Maake,👍👍,5
com.ezlapp.screen.time,Satyendra Kumar Singh,Nice,5
com.ezlapp.screen.time,M jerath,This app doesn't show correct time because I have I have used my phone for 2 hours but it is showing 8 hours यह ऐप सही समय नहीं दिखाता है क्योंकि मैंने अपने फोन को 2 घंटे तक इस्तेमाल किया है लेकिन यह 8 घंटे दिखा रहा ह,1
com.ezlapp.screen.time,I AM single,excellent,5
com.ezlapp.screen.time,Chitra Bansal,Very useful app for teens addicted to phone,5
com.ezlapp.screen.time,Np,Less usefull more advt,1
com.ezlapp.screen.time,IS K,But descrive according to app,5
com.ezlapp.screen.time,Satyam Kushwaha,To much adds,5
com.ezlapp.screen.time,M. Ali,😎,5
com.ezlapp.screen.time,sanghapal dongre,Exlent,5
com.ezlapp.screen.time,Mohd Shahnawaz,Nice app,5
com.ezlapp.screen.time,Duga Rajput,Amazing👍,4
com.ezlapp.screen.time,Vina Donode,Very slow,1
com.ezlapp.screen.time,Abc Abc,So many ads this app is literally a scam,1
com.ezlapp.screen.time,Rudolph Drummer,Ads-within 5 seconds of use.,1
com.ezlapp.screen.time,Sakshara E-Centre,Good app,5
com.ezlapp.screen.time,Abhijit Ghoman,Great,5
com.ezlapp.screen.time,Siva Rama Prasad,Very good and useful,5
com.ezlapp.screen.time,محدثه موسویان فر,😍,5
com.ezlapp.screen.time,Aditya Patil,Worst app possible. Tracks all your activities and leaks your data. Just an advertisement machine gun ready to fire ads all the time. This app should cease from existence and developers should quite their jobs and get a life.,1
com.ezlapp.screen.time,Rani Rashmi,Amazing,5
com.ezlapp.screen.time,uttam gupta,Nice app,4
com.ezlapp.screen.time,Hari Prasath,Nice,5
com.ezlapp.screen.time,neha bharti,Kisi km ka nhi h faltu app h,1
com.ezlapp.screen.time,Hassan Wins,"Limited application, it misses a lot of important functions",1
com.ezlapp.screen.time,Nikita Dubey,Better,1
com.ezlapp.screen.time,G179_Sudipta Sen Supta,Special features of this app is to differentiate using mobile Between two or more weeks,5
com.ezlapp.screen.time,Sharath,"Worst Application. They only Bother about Money, Full of Ads only. Not at all interested. The worst development team I've ever seen. This shows they are Money Minded people.",1
com.ezlapp.screen.time,Mansa sk,Good app just my screen time is saying 10 hrs when I wasn't up for 10hrs so I dunno how it got here or my phone was on when I was sleep but I don't know cause It went from 3 hrs to 10 in 3 seconds I need a answer or a patch update,4
com.ezlapp.screen.time,JUAN FRANCISCO JAVIER VALDEZ BEAS,"Great, only sometimes the alert to close the app fail, it not show",4
com.ezlapp.screen.time,Bukurie,Screen Time It is easy to use this app,5
com.ezlapp.screen.time,Sanchita Bansode,Cool app,1
com.ezlapp.screen.time,Pooja Sharma,Good,5
com.ezlapp.screen.time,Shazna P,Please launch an option where it shows pop up notification saying you have used your screen for 20 minutes continously.. So that i can take some rest,4
com.ezlapp.screen.time,Padmanaha Bhandary,Good,5
com.ezlapp.screen.time,Epsilon,Many ads,1
com.ezlapp.screen.time,Ajay B,Very good app.,5
com.ezlapp.screen.time,Komal Manekar,Good,5
com.ezlapp.screen.time,John _et,Best app ever oooooooooooo,5
com.ezlapp.screen.time,Sank Ook,Good,3
com.ezlapp.screen.time,Naeem Mandai Baloch,Useful,5
com.ezlapp.screen.time,Shalini Vatsa,Too many adds,1
com.ezlapp.screen.time,V Neela,✌👍👍👍,5
com.ezlapp.screen.time,KAVITA SAINI,Good,3
com.ezlapp.screen.time,TECZE consultancy,Nice,5
com.ezlapp.screen.time,Tanatswa Nyamaka,"Its great to track how much you spend on apps. However, it ends up putting timers on apps that you did not put a time limit on or allowing you to exceed the time limit some",5
com.ezlapp.screen.time,Aditya Ranjan,I like this one....,5
com.ezlapp.screen.time,Nicholai Moses,It really keeps me in check and it really makes you realize how long you on my phone yerterday I was on my phone for 10 hours,5
com.ezlapp.screen.time,Mrityunjay Kumar,"Must h, various types of function are available and not disturbed",5
com.ezlapp.screen.time,Shelly-Ann Lee,It works,5
com.ezlapp.screen.time,Dr Isra,Berfect,5
com.ezlapp.screen.time,kssourou mouhamed,It's so helpful,5
com.ezlapp.screen.time,Nimanyu Kamboj,Alots of advertisement,3
com.ezlapp.screen.time,Monika Sharma,Excellent,5
com.ezlapp.screen.time,Thabang Shampeng,So good,5
com.ezlapp.screen.time,Bhulakshmi Kunchala,Great App,5
com.ezlapp.screen.time,F**K You,Hi boo,4
com.ezlapp.screen.time,1714Sparsh Gupta,Good application,5
com.ezlapp.screen.time,alex fulkerson,It is OK.,4
com.ezlapp.screen.time,Textile and Fashion Technology,Too many ads,1
com.ezlapp.screen.time,Mayu Rockzzz,😁,5
com.ezlapp.screen.time,Doaa Zaky,جميل,5
com.ezlapp.screen.time,Sannidhi Hebbar,Too many adssssss,4
com.ezlapp.screen.time,fariah rafay,Good app for app usage tracking time.,5
com.ezlapp.screen.time,Sam Mandal,Nice,5
com.ezlapp.screen.time,MD Samad,Op,5
