Package name,Reviewer name,Review,Rating
com.kiddoware.kidsplace,Caitlin Colbert,Edit: contact support email they reply so quick!! I got it working with YouTube kids again and I'm so Thankful xD can finally trust my kiddo with my phone,5
com.kiddoware.kidsplace,Melissa Crofts,YouTube kids no longer seems to work while on this app . Not happy,3
com.kiddoware.kidsplace,Jessica Taylor,This app is great and keeps my 6 year old off of things she shouldn't be on,5
com.kiddoware.kidsplace,Diana Rodas,Great app!,5
com.kiddoware.kidsplace,kfranco129,"Great parental control, need code by parent to exit app. I wish it came with games already included, because you could still allow an app that accessed Internet. Baby games is a great app to be included because you can remove an icon completely from pressing.",4
com.kiddoware.kidsplace,L. Angie Hernandez,my kid hasn't hacked out yet. I appreciate being able to add and remove apps as needed. great free options,5
com.kiddoware.kidsplace,Maiki Vince,"How do I prevent kids from accessing the top notifications and settings panel? I used to be able to prevent this but I can no longer find the settings. EDIT: I am using Samsung Galaxy A12s, Android 12.",4
com.kiddoware.kidsplace,Robin Imtiaz,Awesome,5
com.kiddoware.kidsplace,Atul Dhane,👍,5
com.kiddoware.kidsplace,John 3:16,so far I'm loving the app. I was using the Kids Mode app at first but it came with games already downloaded within the game which I didnt like. I use the kids place app only when I want them to play on learning apps. This app helps me do just that! thanks,5
com.kiddoware.kidsplace,Dan Myer,"Despite this app, it still allows kids to get out and install apps and games as they wish",1
com.kiddoware.kidsplace,Heather Shay,My son was able to factory reset his tablet while this app was on.,1
com.kiddoware.kidsplace,Christine Cobb,I had to uninstall it immediately because it wouldn't let me past the app permission screen. The permission it wanted was already enabled.,1
com.kiddoware.kidsplace,Katrina Patterson,it glitches when trying to exit,2
com.kiddoware.kidsplace,Kelley Stephenson,Has definitely kept my friends from getting weird texts at strange times.,5
com.kiddoware.kidsplace,christine Langford,Great,5
com.kiddoware.kidsplace,Chetan Devi,Good.app helped me a lot to control my kid from mobile addiction,4
com.kiddoware.kidsplace,Ibrahim Ismail,"Useful. I have 2 comments: 1. App can be closed by clicking battery app saving mode or lite mode in notification pulldown taskbar.(MIUI users) 2. Some time i forgot to increase volume that i need to exit the app, adjust volume and brightness , then enter the app again..i wish this app has a default setting for its own brightness and volume level..",5
