Package name,Reviewer name,Review,Rating
com.screentime.rc,voluq,"Wish i could give it 0 stars.. Everything is unable to use, you have to buy premium for everything, i cant block anything on my childrens' device.",1
com.screentime.rc,Dimitar Stefanov,Don't waste money on that program.It did not work correctly.When you think you kid phone its lock....the kid play free on it!,1
com.screentime.rc,Braxton Brown,Its trash so trash,1
com.screentime.rc,Lindsey Bohlen,This app is easy to use. I love all the features.,5
com.screentime.rc,miriam schwartz,"This has been a Gdsend for me and my child! Friendly to low tech parents, this app is terrific, and the company's response time is excellent!",4
com.screentime.rc,Steph Bruen,This app does not link iPhone and android phones,1
com.screentime.rc,Paula Diaz Longhi,"The app isn't working. I get a daily report with 0 min of navigation which is impossible. The app worked for about a year, with the new subscription it it basically useless.",1
com.screentime.rc,Hudson Charles,"I, unfortunately, had this application instaled on my phone for over the course of several months however fortunately the people developing are clearly tech amatures considering a 12 year old who's parents never educated on technology was still able with the basic skills I had to uninstall this poorly made almost malware. For anyone suffering the idiocy of this application you can simply uninstall it by backing up all you would like to keep on your phone and then factory resetting the device.",1
com.screentime.rc,Nor Khairul Idlan,Only can use few day after that need pay for use pause and limit funtion.this app not user friendly,1
com.screentime.rc,nick lynch,Really rubbish app . I'm paid till August 23 but then is goodbye 👋,1
com.screentime.rc,Manda Singleton,It was pretty good till we upgraded phones. Added new phone to account now it doesn't update anything. And im a paid member ..,1
com.screentime.rc,Cj Quitoyan,"Why its not working on me nah, was so cool but now is not already",1
com.screentime.rc,Nicholas st.nicholas,It doesn't work,1
com.screentime.rc,Seble Hailu,The worst app created in the multi verse,1
com.screentime.rc,Judah Braun8273628,Eh,3
com.screentime.rc,Alys the Random,Really disappointed as it was working brilliantly but now won't let me do anything unless I pay for the advanced option,1
com.screentime.rc,Nikola Kelovic,Solidna aplikacija sa puno mana.  ne mogu se limitirati svi dodeljeni uređaji zbirnim limitom već svaki uređaj zasebno. svaka aplikacija koja se doda je dozvoljena umesto da po difoltu bude zabranjena. Dobra osnova ali se mora popraviti.,5
