Package name,Reviewer name,Review,Rating
de.lhoer0.screentimeout,Ali Arman Porag,good app,5
de.lhoer0.screentimeout,Jan Mendaros,"works great, i reccomend it!",5
de.lhoer0.screentimeout,Pauline Williams,I'll keep looking for all good ideas and things ✨️ in this app,5
de.lhoer0.screentimeout,Amir Al Shimmarii,Finally... My phone time out is broken due to power mode and old os ... This helps,5
de.lhoer0.screentimeout,Charles,Very handy!,5
de.lhoer0.screentimeout,Tam L,"Works, unlike other apps that still blackout to the Always On lock display. I use auto-click apps for grinding games and every attempt I made, to include Developer Mode always on option, even during Charge, still allows screen to darken to the Always On lock screen that blocks the full touchscreen. I edited a time for 1 hour, and it actually stayed On for more than the standard 10 min.",5
de.lhoer0.screentimeout,Peerapol Chandaragga,Don't work with realme gt 5g,1
de.lhoer0.screentimeout,k m,Works well. No issues,4
de.lhoer0.screentimeout,A Google user,Greatest,5
de.lhoer0.screentimeout,Adam Smith,Wont work on S10,1
de.lhoer0.screentimeout,Kimo,Best,5
de.lhoer0.screentimeout,amir Shamlu,perfect usefull app. thanks..,5
de.lhoer0.screentimeout,Timmy Carl,"Good ap, very basic.",5
de.lhoer0.screentimeout,Arwyn Thomas,Excellent works well very efficient.,5
de.lhoer0.screentimeout,s nonya,finally a app that works i hate screen timeout i dont understand why samsung wont let me disable it without a app,5
de.lhoer0.screentimeout,Sagar Acharya,Not working after being updated to android 12. It was working fine before update.,3
de.lhoer0.screentimeout,Callum,"My samsung A52 only allowed it to stay on for 10min, this app has solved my problems, you guys are amazing, thanks!!",5
de.lhoer0.screentimeout,Bump Ouija,"Trash, outdated, hasn't had a dev update since 2014.",1
de.lhoer0.screentimeout,HAFIZ MUKHTAR HUSSAIN,Good experience,5
de.lhoer0.screentimeout,Tinu Mullassery,Usefull,2
de.lhoer0.screentimeout,Maryam,I like it,5
de.lhoer0.screentimeout,Taj Malik,It is helpful. I also refer this to the my parents and the friends. It was so helpful to me and my family and friends,5
de.lhoer0.screentimeout,Mohamed Aslam,This app best editor screen timeout 10 hours or more unlimited hours editor app I given 5 Star rating👍,5
de.lhoer0.screentimeout,Ray H.,"Having just discovered that an option to adjust or disable screen timeout was available has delighted me totally. I often listen to Internet radio on my mobile and after the highest time of 10 minutes arrived, immediately radio shuts off then a reset was required to activate again. Very irritating indeed. But now, couldn't be happier. Going a step further and get ad free version. Well done app developer. 👍👌🤗",5
de.lhoer0.screentimeout,Nadeem Shah,Nice app,5
de.lhoer0.screentimeout,Tanzim Uddin Anas,Best app,5
de.lhoer0.screentimeout,নাঈম ইসলাম,Bad,1
de.lhoer0.screentimeout,Ahsan Nawaz,Oustanding App.. love it.,5
de.lhoer0.screentimeout,Samuel Maran,Unfortunately it doesn't work on my Oneplus 8T with Android 12,1
de.lhoer0.screentimeout,Sami Glover,The app seems handy but it doesn't have an option to extend the maximum time out available in my Pixel 6 Pro settings. I need an app that will allow me to set timeout to never when I'm working then change back when my workday is done. The app says it was built for an earlier Android version so that's probably the issue,3
de.lhoer0.screentimeout,Bibek Nandi,Wow app.,5
de.lhoer0.screentimeout,Cheng YeeKong,"Wow, it works! Thank you.",5
de.lhoer0.screentimeout,AKANJI TITILOLA,It is working fine,5
de.lhoer0.screentimeout,Anton “Tony” Lautenbach,Excellent small app which does exactly what you want it to do √ no more and no less. Tony 🇨🇦 April 2022,5
de.lhoer0.screentimeout,Lloyd Eason,it's perfect,5
de.lhoer0.screentimeout,Sujita ray,Bad,2
de.lhoer0.screentimeout,Tracker Scout,"I love this app, I have used it for years. Now got a new phone and using again. Soon will buy the lro version to support developer.",5
de.lhoer0.screentimeout,1K Gamerz,Omg 😱 app is very good 😊👍 unbelievable ♥️,5
de.lhoer0.screentimeout,Somya Jha,Works 100% fully satisfied with this app. 100% recommended app,5
de.lhoer0.screentimeout,William Jay,"One of the most helpful Android apps ever invented. It is now so absolutely simple to change the screen timeout from my usual 30 seconds to a couple of minutes when I am going to be doing some ""work"" on my phone. And then so simple and uncomplicated to change back again. A wonderful app! (Using on Google Pixel XL phone).",5
de.lhoer0.screentimeout,Nishant singh Kushawaha,Top app very fast work app,5
de.lhoer0.screentimeout,Manish Rajput,Ifyfr SC ig,5
de.lhoer0.screentimeout,Inder Iwan,Super 👌 duper ....,5
de.lhoer0.screentimeout,Arwanki Bareh,Really good app,5
de.lhoer0.screentimeout,Meena Pardeshi,This app is very use full for study,5
de.lhoer0.screentimeout,Uma Senapati,30m jo dete hai phir se 5 s ho jate hoi very bad service,1
de.lhoer0.screentimeout,William Wilken,Saves frustration built in by idiot programmers . Great app!!,5
de.lhoer0.screentimeout,Ella Bella,Very useful APK... Recommended,5
de.lhoer0.screentimeout,Fatih Temizer,It works perfectly but it would be great to have drop down menu button which we can quick switch between selected timeout times.,5
de.lhoer0.screentimeout,Gujarat gujarati,Very nice,5
de.lhoer0.screentimeout,David POTEAU,Very good app for Samsung and Motorola mobile,5
de.lhoer0.screentimeout,Stefan Travis,Excellent. Fixes a glaring mistake in standard phone options.,5
de.lhoer0.screentimeout,duno w,does'nt work on my gpad,1
de.lhoer0.screentimeout,Chris G,Works great to have custom timeout,5
de.lhoer0.screentimeout,james husbands,"Works as described. Works so well that if they created a version that extended timeout to indefinite, I'd be willing to pay for it.",5
de.lhoer0.screentimeout,20 Anuranj krishna,Very wonderful app This is very useful you must try this one. this iS useful for Samsung mobiles,5
de.lhoer0.screentimeout,Kevin Tray,Unfortunately not working for me on galaxy s21 plus.,1
de.lhoer0.screentimeout,Gary Hughes,"Never liked the constraints of my android built-in timeout, so great to find an app where it can be adjusted to any setting one wishes. Exactly what I was looking for. Top marks to the developers.",5
de.lhoer0.screentimeout,Yuridia Mondragon,EXCELLENT 👍🏻 JUST PERFECT!,5
de.lhoer0.screentimeout,AKASH BABURAJ,Thanks buddy for making this app,5
de.lhoer0.screentimeout,Jed Carson,Simple app that does what it says without stupid ad requirements,4
de.lhoer0.screentimeout,maliheh sh,گوشی من که نمیشد تایمش رو کنترل کنیم میشه تایمش رو باهاش کنترل کنیم,5
de.lhoer0.screentimeout,Lokeshgowda Mt,This app is OK but my iPhone 11 Pro is hang when I on screen timeout so it is a worst app,1
de.lhoer0.screentimeout,Kaveh Nokia,that's what i want,5
de.lhoer0.screentimeout,Manoj Yadav,This app such work nicely and i done my assignment without touch the screen i love this app👍🏼👍🏼❤️❤️,5
de.lhoer0.screentimeout,Wendra Nolan,Love this app so much! It's the 1st app that I check after an update. It's in constant use & much appreciated. 💜,5
de.lhoer0.screentimeout,MrOne McOne,works even on Android 11 !!,5
de.lhoer0.screentimeout,Tahsan Ahmed,Nice.,5
de.lhoer0.screentimeout,Oprn Dtorw,Thank you!,5
de.lhoer0.screentimeout,Monika Monika,Mm,5
de.lhoer0.screentimeout,James Freeman,"Awsome awsome app! I've been looking for a way to set my screen timeout from the 30 seconds (too short) to a nice 45 second. Androids only options are longer like 1 min and up (too long). 45 seconds is perfect and this app works like a champ. Set it and forget it. Galaxy A01, android 11.",5
de.lhoer0.screentimeout,MD ILIYASPASHA,Not restoring after disabled from widget to previous screen timing,2
de.lhoer0.screentimeout,AHQ Mobiles,Good app,5
de.lhoer0.screentimeout,Superegular,Widget doesn't work. Just says error when I tap it.,1
de.lhoer0.screentimeout,Atmakur Twins,Good app for MI mobiles.... Because mi mobiles doesn't have settings for screen timeout,5
de.lhoer0.screentimeout,Mary Poppins,"Only had it installed for a few days, but loving it so far. I no longer have to become frustrated with my phone changing the screen time out setting every day. I don't open the app, so haven't been bothered by the ads",5
de.lhoer0.screentimeout,Angeline Murphy,Great App.. Does exactly what it says it does.. Thanks so much 👍,5
de.lhoer0.screentimeout,Make Name Acceptable Go,"Works nice. Let's me do 3.5 minutes, my favorite. Going to buy the ad free one, ads aren't bad on this, but want to support.",5
de.lhoer0.screentimeout,Charanjit Abv,Nice,5
de.lhoer0.screentimeout,Mansukhlal Gidwani,Best app Does wht it says User friendly x 100 😂,5
de.lhoer0.screentimeout,jai kishan,Good and and my support is already have a lot,4
de.lhoer0.screentimeout,Marvin San Jose,Love it 5 stars for u,5
de.lhoer0.screentimeout,Dr. Nirmala Devi,Tats a perfect app for screen time setting s,5
de.lhoer0.screentimeout,michelle cagle,So happy I don't have to watch the time,5
de.lhoer0.screentimeout,Kennith L Longden Sr.,"Good, so far.",4
de.lhoer0.screentimeout,Barry Graham,Works Great with bike phone apps.,5
de.lhoer0.screentimeout,Pete King,Always resets itself to 10 minutes,3
de.lhoer0.screentimeout,tonya mro,Very good apps,5
de.lhoer0.screentimeout,Poe Raut,More than u can expect. Simple and useful,5
de.lhoer0.screentimeout,MNurahman,AWESOME,5
de.lhoer0.screentimeout,Byron Page,👏🏾👏🏻👏🏽,5
