Package name,Reviewer name,Review,Rating
de.markusfisch.android.screentime,Varun Kamath,"Is an awesome app for checking your screen time. The only feature that I would recommend in an update is to add App Limits(block usage of app after some set screen time) and usage of all apps, not just one cumulative screen time figure.",5
de.markusfisch.android.screentime,Archie,"thank you mark. no ads or purchases, great app",5
de.markusfisch.android.screentime,Matas Motuzas,No ads. Really well made for visualizing your screen on time,5
de.markusfisch.android.screentime,Ashu J,Minimalist and BRILLIANT!! Definitely recommended..,5
de.markusfisch.android.screentime,Ryan Kittell,"Super simple but beautiful display to easily see how much and when I am using my phone. No ads! I even like how there can be a constant banner/notification telling me how many minutes of screen time I have used, as an extra motivation to cut back. Thanks so much!",5
de.markusfisch.android.screentime,MOHAMMED ABDULLAH KHAN,Really good app,5
de.markusfisch.android.screentime,PuLsE Lucian,Trash,1
de.markusfisch.android.screentime,Abhimanyu Gupta,I like this app but it stop showing notification after some time and stop counting out screen time so i need to open this app but after some time it again stop. The main thing is it not only stop notification it also stop counting screen time. Please do work on it.,5
de.markusfisch.android.screentime,Dev,"Simple, but informative app.",5
de.markusfisch.android.screentime,Abdullah Mohammed,Awesome app plus it's open source!,5
de.markusfisch.android.screentime,Dolly dandu,This is what is required and I am fan of this. Kudos.,5
de.markusfisch.android.screentime,Silas Clark,Ok app,5
de.markusfisch.android.screentime,Vikas,Minimalist app without any ads and fanfare. What else one could ask for!,5
de.markusfisch.android.screentime,Aman Dimri,Awsome 👌👌,5
de.markusfisch.android.screentime,Souvik Mukherjee,Great app Kudos 🔥,5
de.markusfisch.android.screentime,Pramod Ku. Mahanta,"Good, no ads. Sam app of 134 kb. No permission required. Thanks for developing app like this.",5
de.markusfisch.android.screentime,S. Luis,Does what it should. Simple and brutal 😜,5
de.markusfisch.android.screentime,Lucky Kumar,Super app kb ka app wow I like it Best app jinke phone me space nahi hai or screen time bi nahi hai to ye application use kro,5
de.markusfisch.android.screentime,Andy McMinn,Pure and simple. Perfecto!,5
de.markusfisch.android.screentime,Lars Maxfield,"Does exactly what I need in the most minimalist way possible: shows my daily cumulative screen time directly in the notification bar with no added title or text. The app itself is one page showing the on–off times in a clever radial barchart with a slidable dot to set the time of ""day change"" — i.e., the time of day when the screen time resets. That setting was the only feature which was not immediately intuitive to me; perhaps an initial hint bubble could have helped, but that's being picky.",5
de.markusfisch.android.screentime,Zyd Afz,"Does what it says, clean and minimal",5
de.markusfisch.android.screentime,Karzan 007,"Thats what i wanted, Simple and good, Great Job",5
de.markusfisch.android.screentime,Michael K,"Finally found an app that makes exactly what I want. Simply showing the screen time in a notification bar. No more, no less. Thanks Markus for developing such a nice simple app!",5
de.markusfisch.android.screentime,Pacific Elementals,I love this app. Is does exactly what it's supposed to: record time spent on phone. It's simple and does the job and doesn't take much space! Thank you to the creator(s) of this app. ☺,5
de.markusfisch.android.screentime,Animesh Nath,"Damn Markus, You are an incredible developer!",5
de.markusfisch.android.screentime,ASHISH,Simple & to the point. Love it,5
